year,origin,dest,arr_time,arr_delay
2022,JFK,LAX,2107,30
2022,JFK,LAX,2154,21
2022,JFK,LAX,2154,9
2022,JFK,LAX,2256,12
2022,JFK,LAX,2253,-11
2022,JFK,LAX,2306,7
2022,JFK,LAX,2311,41
2022,JFK,LAX,9,24
2022,JFK,IAD,2204,-27
2022,JFK,LAX,231,92
2022,JFK,LAX,NA,NA
2022,JFK,LAX,929,-5
2022,JFK,LAX,1034,14
2022,JFK,LAX,1009,-16
2022,JFK,LAX,1036,-28
2022,JFK,LAX,1103,-28
2022,JFK,LAX,1125,-35
2022,JFK,LAX,1231,-29
2022,JFK,LAX,1258,53
2022,JFK,LAX,1342,10
2022,JFK,LAX,1348,-2
2022,JFK,LAX,1423,-1
2022,JFK,LAX,1531,29
2022,JFK,LAX,1705,-18
2022,JFK,LAX,1712,-13
2022,JFK,LAX,1744,129
2022,JFK,LAX,1833,-14
2022,JFK,LAX,1833,-30
2022,JFK,IAD,1705,48
2022,JFK,LAX,1859,-8
2022,JFK,LAX,2002,-2
2022,JFK,LAX,2104,-29
2022,JFK,LAX,2119,-26
2022,JFK,LAX,2217,-27
2022,JFK,LAX,2244,-20
2022,JFK,LAX,2346,-12
2022,JFK,LAX,43,-16
2022,JFK,IAD,2350,88
2022,JFK,LAX,910,-24
2022,JFK,LAX,1001,-24
2022,JFK,LAX,1002,-18
2022,JFK,LAX,1044,-20
2022,JFK,LAX,1110,-21
2022,JFK,LAX,1138,-22
2022,JFK,LAX,1143,-22
2022,JFK,LAX,1233,-27
2022,JFK,LAX,1305,-27
2022,JFK,LAX,1330,-20
2022,JFK,LAX,1404,-20
2022,JFK,LAX,1438,-24
2022,JFK,LAX,1532,-3
2022,JFK,LAX,1645,-38
2022,JFK,IAD,1626,9
2022,JFK,LAX,1831,-16
2022,JFK,LAX,1823,-40
2022,JFK,LAX,1837,-30
2022,JFK,LAX,1956,-8
2022,JFK,LAX,2022,-19
2022,JFK,LAX,2022,-34
2022,JFK,LAX,2148,15
2022,JFK,LAX,2115,-30
2022,JFK,LAX,2242,-22
2022,JFK,LAX,2244,0
2022,JFK,LAX,1,3
2022,JFK,LAX,100,1
2022,JFK,LAX,202,63
2022,JFK,IAD,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,1157,92
2022,JFK,LAX,1313,68
2022,JFK,LAX,1329,89
2022,JFK,LAX,1320,20
2022,JFK,LAX,1352,20
2022,JFK,LAX,1438,-24
2022,JFK,LAX,1447,23
2022,JFK,LAX,1627,52
2022,JFK,LAX,1708,-17
2022,JFK,LAX,1726,3
2022,JFK,IAD,1608,-9
2022,JFK,LAX,1834,-13
2022,JFK,LAX,1901,-6
2022,JFK,LAX,2018,14
2022,JFK,LAX,2012,69
2022,JFK,LAX,2014,-27
2022,JFK,LAX,2123,27
2022,JFK,LAX,2115,-18
2022,JFK,LAX,2133,-12
2022,JFK,LAX,2253,9
2022,JFK,LAX,2259,-5
2022,JFK,IAD,2225,3
2022,JFK,LAX,50,52
2022,JFK,LAX,205,66
2022,JFK,LAX,253,56
2022,JFK,LAX,242,103
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,859,-35
2022,JFK,LAX,1008,-12
2022,JFK,LAX,1035,-29
2022,JFK,LAX,1153,-12
2022,JFK,LAX,1325,-7
2022,JFK,LAX,1323,83
2022,JFK,LAX,1406,66
2022,JFK,LAX,1436,-26
2022,JFK,LAX,1540,5
2022,JFK,IAD,1557,-20
2022,JFK,LAX,1817,-30
2022,JFK,LAX,1912,5
2022,JFK,LAX,1937,-27
2022,JFK,LAX,2130,-15
2022,JFK,LAX,2145,12
2022,JFK,LAX,2219,-25
2022,JFK,LAX,2251,-13
2022,JFK,LAX,2349,-9
2022,JFK,IAD,2208,-13
2022,JFK,LAX,102,3
2022,JFK,LAX,41,-18
2022,JFK,LAX,900,-34
2022,JFK,LAX,950,-35
2022,JFK,LAX,956,-24
2022,JFK,LAX,1029,-35
2022,JFK,LAX,1104,-27
2022,JFK,LAX,1141,-19
2022,JFK,LAX,1152,-13
2022,JFK,LAX,1234,-26
2022,JFK,LAX,1255,-37
2022,JFK,LAX,1333,-17
2022,JFK,LAX,1353,-31
2022,JFK,LAX,1434,-28
2022,JFK,LAX,1522,-13
2022,JFK,LAX,1653,-32
2022,JFK,LAX,1732,9
2022,JFK,IAD,1617,0
2022,JFK,LAX,1824,-23
2022,JFK,LAX,1828,-39
2022,JFK,LAX,1849,-14
2022,JFK,LAX,2011,7
2022,JFK,LAX,2010,-31
2022,JFK,LAX,2026,-30
2022,JFK,LAX,2116,-29
2022,JFK,LAX,2132,-1
2022,JFK,LAX,2213,-31
2022,JFK,LAX,2222,-42
2022,JFK,IAD,2213,-9
2022,JFK,LAX,38,40
2022,JFK,LAX,131,32
2022,JFK,LAX,53,-6
2022,JFK,LAX,858,-36
2022,JFK,LAX,943,-42
2022,JFK,LAX,1000,-20
2022,JFK,LAX,1035,-29
2022,JFK,LAX,1043,-48
2022,JFK,LAX,1134,-26
2022,JFK,LAX,1140,-25
2022,JFK,LAX,1229,-31
2022,JFK,LAX,1309,-23
2022,JFK,LAX,1349,-1
2022,JFK,LAX,1504,40
2022,JFK,LAX,1512,-23
2022,JFK,LAX,1658,-27
2022,JFK,IAD,1623,6
2022,JFK,LAX,1809,-38
2022,JFK,LAX,1825,-38
2022,JFK,LAX,1840,-27
2022,JFK,LAX,1849,86
2022,JFK,LAX,1917,-47
2022,JFK,LAX,2018,-23
2022,JFK,LAX,2023,-33
2022,JFK,LAX,2050,-43
2022,JFK,LAX,2114,-31
2022,JFK,LAX,2216,-28
2022,JFK,LAX,2232,-32
2022,JFK,LAX,2341,-17
2022,JFK,IAD,2207,-15
2022,JFK,LAX,38,-21
2022,JFK,LAX,139,40
2022,JFK,LAX,229,687
2022,JFK,LAX,913,-21
2022,JFK,LAX,944,-41
2022,JFK,LAX,1006,-14
2022,JFK,LAX,1034,-30
2022,JFK,LAX,1050,-41
2022,JFK,LAX,1124,-36
2022,JFK,LAX,1142,-23
2022,JFK,LAX,1251,-41
2022,JFK,LAX,1258,-2
2022,JFK,LAX,1328,-22
2022,JFK,LAX,1418,-6
2022,JFK,LAX,1412,-50
2022,JFK,LAX,1537,2
2022,JFK,LAX,1659,-26
2022,JFK,LAX,1657,-26
2022,JFK,IAD,1614,-3
2022,JFK,LAX,1812,-35
2022,JFK,LAX,1829,-34
2022,JFK,LAX,1924,-40
2022,JFK,LAX,2023,76
2022,JFK,LAX,2041,-15
2022,JFK,LAX,2111,-22
2022,JFK,LAX,2106,-39
2022,JFK,LAX,2232,-32
2022,JFK,LAX,2328,-30
2022,JFK,LAX,2329,45
2022,JFK,IAD,2214,-8
2022,JFK,LAX,29,-30
2022,JFK,LAX,47,-12
2022,JFK,LAX,903,-31
2022,JFK,LAX,948,-37
2022,JFK,LAX,959,-21
2022,JFK,LAX,1045,-46
2022,JFK,LAX,1137,-23
2022,JFK,LAX,1139,-26
2022,JFK,LAX,1209,65
2022,JFK,LAX,1212,-48
2022,JFK,LAX,1314,-18
2022,JFK,LAX,1339,-11
2022,JFK,LAX,1346,-38
2022,JFK,LAX,1418,-44
2022,JFK,LAX,1518,-17
2022,JFK,LAX,1704,-21
2022,JFK,LAX,1643,-40
2022,JFK,IAD,1610,-7
2022,JFK,LAX,1853,-14
2022,JFK,LAX,1850,3
2022,JFK,LAX,1836,-27
2022,JFK,LAX,1907,-57
2022,JFK,LAX,2115,-30
2022,JFK,LAX,2203,-41
2022,JFK,LAX,2203,30
2022,JFK,LAX,2330,26
2022,JFK,LAX,2328,-30
2022,JFK,IAD,2213,-9
2022,JFK,LAX,14,-45
2022,JFK,LAX,52,-7
2022,JFK,LAX,904,-30
2022,JFK,LAX,1010,-15
2022,JFK,LAX,959,-21
2022,JFK,LAX,1027,-37
2022,JFK,LAX,1107,-24
2022,JFK,LAX,1143,-17
2022,JFK,LAX,1143,-22
2022,JFK,LAX,1204,-56
2022,JFK,LAX,1332,-18
2022,JFK,LAX,1349,-35
2022,JFK,LAX,1425,-37
2022,JFK,LAX,1513,-22
2022,JFK,LAX,1646,-39
2022,JFK,LAX,1652,-31
2022,JFK,IAD,1617,0
2022,JFK,LAX,1755,263
2022,JFK,LAX,1836,-11
2022,JFK,LAX,1812,-51
2022,JFK,LAX,1846,-21
2022,JFK,LAX,1922,-42
2022,JFK,LAX,2027,-14
2022,JFK,LAX,2029,-27
2022,JFK,LAX,2052,-41
2022,JFK,LAX,2117,-28
2022,JFK,LAX,2219,-25
2022,JFK,LAX,2329,25
2022,JFK,LAX,2323,-35
2022,JFK,IAD,2221,-1
2022,JFK,LAX,21,-38
2022,JFK,LAX,36,-23
2022,JFK,LAX,117,-40
2022,JFK,LAX,912,-22
2022,JFK,LAX,1005,-20
2022,JFK,LAX,1004,-16
2022,JFK,LAX,1049,-15
2022,JFK,LAX,1122,-9
2022,JFK,LAX,1125,-35
2022,JFK,LAX,1138,-27
2022,JFK,LAX,1240,-20
2022,JFK,LAX,1334,-16
2022,JFK,LAX,1350,18
2022,JFK,LAX,1357,-27
2022,JFK,LAX,1432,-30
2022,JFK,LAX,1530,-5
2022,JFK,LAX,1705,-20
2022,JFK,LAX,1711,-12
2022,JFK,IAD,1618,1
2022,JFK,LAX,1832,-15
2022,JFK,LAX,1839,-24
2022,JFK,LAX,1851,-16
2022,JFK,LAX,1940,-24
2022,JFK,LAX,1958,-43
2022,JFK,LAX,2041,-15
2022,JFK,LAX,2100,-33
2022,JFK,LAX,2115,-30
2022,JFK,LAX,2204,-40
2022,JFK,LAX,2237,-27
2022,JFK,LAX,2331,-27
2022,JFK,IAD,2202,-20
2022,JFK,LAX,32,-27
2022,JFK,LAX,37,-22
2022,JFK,LAX,138,-19
2022,JFK,LAX,507,309
2022,JFK,LAX,902,-32
2022,JFK,LAX,943,-37
2022,JFK,LAX,1031,-33
2022,JFK,LAX,1118,-42
2022,JFK,LAX,1137,-28
2022,JFK,LAX,1218,-42
2022,JFK,LAX,1230,-62
2022,JFK,LAX,1507,-28
2022,JFK,LAX,1619,77
2022,JFK,IAD,1602,-15
2022,JFK,LAX,1751,-56
2022,JFK,LAX,1859,-8
2022,JFK,LAX,1903,-61
2022,JFK,LAX,2027,-29
2022,JFK,LAX,2139,6
2022,JFK,LAX,2107,-38
2022,JFK,LAX,2208,-36
2022,JFK,LAX,2246,-18
2022,JFK,IAD,2210,-11
2022,JFK,LAX,137,38
2022,JFK,LAX,850,-44
2022,JFK,LAX,939,-46
2022,JFK,LAX,1024,4
2022,JFK,LAX,1020,-44
2022,JFK,LAX,1114,-17
2022,JFK,LAX,1135,-25
2022,JFK,LAX,1131,-34
2022,JFK,LAX,1221,-39
2022,JFK,LAX,1257,-35
2022,JFK,LAX,1330,-20
2022,JFK,LAX,1505,3
2022,JFK,LAX,1523,-12
2022,JFK,LAX,1602,98
2022,JFK,LAX,1657,-28
2022,JFK,LAX,1710,-13
2022,JFK,LAX,1821,-26
2022,JFK,LAX,1831,-36
2022,JFK,LAX,1858,-5
2022,JFK,LAX,1947,-17
2022,JFK,LAX,2023,-18
2022,JFK,LAX,2048,-45
2022,JFK,LAX,2105,9
2022,JFK,LAX,2302,18
2022,JFK,LAX,2319,15
2022,JFK,LAX,26,28
2022,JFK,LAX,126,27
2022,JFK,LAX,151,-6
2022,JFK,LAX,205,260
2022,JFK,LAX,203,64
2022,JFK,IAD,NA,NA
2022,JFK,IAD,NA,NA
2022,JFK,LAX,848,-46
2022,JFK,LAX,948,-32
2022,JFK,LAX,1007,-18
2022,JFK,LAX,1014,-50
2022,JFK,LAX,1035,-56
2022,JFK,LAX,1116,-44
2022,JFK,LAX,1140,-25
2022,JFK,LAX,1234,-25
2022,JFK,LAX,1307,-25
2022,JFK,LAX,1321,-29
2022,JFK,LAX,1357,-27
2022,JFK,LAX,1438,-24
2022,JFK,LAX,1514,-21
2022,JFK,LAX,1704,-21
2022,JFK,LAX,1858,95
2022,JFK,LAX,1845,-18
2022,JFK,LAX,1832,-35
2022,JFK,IAD,1727,70
2022,JFK,LAX,1936,-28
2022,JFK,LAX,2037,-4
2022,JFK,LAX,2049,-7
2022,JFK,LAX,2235,62
2022,JFK,LAX,2159,14
2022,JFK,LAX,2251,7
2022,JFK,IAD,2220,-2
2022,JFK,LAX,2352,-6
2022,JFK,LAX,105,6
2022,JFK,LAX,133,149
2022,JFK,LAX,155,56
2022,JFK,LAX,227,30
2022,JFK,LAX,NA,NA
2022,JFK,LAX,909,-25
2022,JFK,LAX,1002,-23
2022,JFK,LAX,1017,-3
2022,JFK,LAX,1102,-2
2022,JFK,LAX,1134,-26
2022,JFK,LAX,1150,-15
2022,JFK,LAX,1233,-27
2022,JFK,LAX,1318,-14
2022,JFK,LAX,1340,-10
2022,JFK,LAX,1413,-11
2022,JFK,LAX,1450,-12
2022,JFK,LAX,1511,-24
2022,JFK,LAX,1702,-23
2022,JFK,LAX,1720,-3
2022,JFK,IAD,1608,-9
2022,JFK,LAX,1820,-27
2022,JFK,LAX,1844,-19
2022,JFK,LAX,1837,-30
2022,JFK,LAX,1947,-17
2022,JFK,LAX,2056,0
2022,JFK,LAX,2115,-18
2022,JFK,LAX,2125,-20
2022,JFK,LAX,2234,-10
2022,JFK,LAX,2256,-8
2022,JFK,LAX,2340,-18
2022,JFK,IAD,2204,-18
2022,JFK,LAX,8,-23
2022,JFK,LAX,35,-24
2022,JFK,LAX,41,-18
2022,JFK,LAX,137,-20
2022,JFK,LAX,NA,NA
2022,JFK,LAX,905,-29
2022,JFK,LAX,1002,-23
2022,JFK,LAX,1014,-6
2022,JFK,LAX,1042,-22
2022,JFK,LAX,1059,-32
2022,JFK,LAX,1119,-41
2022,JFK,LAX,1146,-19
2022,JFK,LAX,1226,-34
2022,JFK,LAX,1304,-28
2022,JFK,LAX,1342,-8
2022,JFK,LAX,1402,-22
2022,JFK,LAX,1436,-26
2022,JFK,LAX,1510,-25
2022,JFK,LAX,1707,-18
2022,JFK,LAX,1705,-18
2022,JFK,IAD,1557,-20
2022,JFK,LAX,1808,-39
2022,JFK,LAX,1830,-33
2022,JFK,LAX,1854,-13
2022,JFK,LAX,1927,-37
2022,JFK,LAX,2113,-20
2022,JFK,LAX,2111,-34
2022,JFK,LAX,2206,-38
2022,JFK,LAX,2227,-37
2022,JFK,LAX,2324,-34
2022,JFK,LAX,2345,-46
2022,JFK,IAD,2207,-15
2022,JFK,LAX,16,-43
2022,JFK,LAX,106,7
2022,JFK,LAX,129,-28
2022,JFK,LAX,907,-27
2022,JFK,LAX,936,-49
2022,JFK,LAX,949,-31
2022,JFK,LAX,1033,-31
2022,JFK,LAX,1042,-49
2022,JFK,LAX,1137,-28
2022,JFK,LAX,NA,NA
2022,JFK,LAX,1214,-46
2022,JFK,LAX,1338,6
2022,JFK,LAX,1335,-15
2022,JFK,LAX,1415,-9
2022,JFK,LAX,1435,-27
2022,JFK,LAX,1520,-15
2022,JFK,LAX,1646,-39
2022,JFK,LAX,1639,-44
2022,JFK,IAD,1631,14
2022,JFK,LAX,1821,-26
2022,JFK,LAX,1853,-10
2022,JFK,LAX,1844,-23
2022,JFK,LAX,2011,7
2022,JFK,LAX,2036,-5
2022,JFK,LAX,2026,-30
2022,JFK,LAX,2055,-38
2022,JFK,LAX,2145,0
2022,JFK,LAX,2223,-21
2022,JFK,LAX,2234,-30
2022,JFK,LAX,2322,-36
2022,JFK,IAD,2157,-25
2022,JFK,LAX,29,-30
2022,JFK,LAX,123,24
2022,JFK,LAX,133,-24
2022,JFK,LAX,905,-29
2022,JFK,LAX,1040,15
2022,JFK,LAX,1004,-16
2022,JFK,LAX,1036,-28
2022,JFK,LAX,1133,2
2022,JFK,LAX,1110,-50
2022,JFK,LAX,1200,-5
2022,JFK,LAX,1230,-30
2022,JFK,LAX,1308,-24
2022,JFK,LAX,1331,-19
2022,JFK,LAX,1400,-24
2022,JFK,LAX,1427,-35
2022,JFK,LAX,1504,-31
2022,JFK,LAX,1712,-13
2022,JFK,LAX,1718,-5
2022,JFK,IAD,1618,1
2022,JFK,LAX,1803,-44
2022,JFK,LAX,1822,-41
2022,JFK,LAX,1837,-30
2022,JFK,LAX,2012,-29
2022,JFK,LAX,2050,-6
2022,JFK,LAX,2111,-22
2022,JFK,LAX,2129,-16
2022,JFK,LAX,2105,61
2022,JFK,LAX,2219,-25
2022,JFK,LAX,2230,-34
2022,JFK,LAX,17,19
2022,JFK,IAD,2208,-14
2022,JFK,LAX,53,-6
2022,JFK,LAX,30,-29
2022,JFK,LAX,127,-30
2022,JFK,LAX,845,-49
2022,JFK,LAX,922,-58
2022,JFK,LAX,1031,-33
2022,JFK,LAX,1146,-19
2022,JFK,LAX,1215,-45
2022,JFK,LAX,1248,-44
2022,JFK,LAX,1426,-36
2022,JFK,LAX,1459,840
2022,JFK,LAX,1502,-33
2022,JFK,LAX,1536,216
2022,JFK,IAD,1630,13
2022,JFK,LAX,1759,-48
2022,JFK,LAX,1838,-29
2022,JFK,LAX,1936,-28
2022,JFK,LAX,2033,-60
2022,JFK,LAX,2055,-50
2022,JFK,LAX,2103,7
2022,JFK,LAX,2145,-59
2022,JFK,LAX,2246,-18
2022,JFK,IAD,2159,-22
2022,JFK,LAX,2344,-14
2022,JFK,LAX,945,11
2022,JFK,LAX,935,-45
2022,JFK,LAX,936,-49
2022,JFK,LAX,1037,-27
2022,JFK,LAX,1043,-48
2022,JFK,LAX,1152,-8
2022,JFK,LAX,1146,-19
2022,JFK,LAX,1210,-50
2022,JFK,LAX,1237,-55
2022,JFK,LAX,1354,4
2022,JFK,LAX,1344,-40
2022,JFK,LAX,1403,-59
2022,JFK,LAX,1522,-13
2022,JFK,LAX,1649,-36
2022,JFK,LAX,1641,-42
2022,JFK,IAD,1604,-13
2022,JFK,LAX,1826,-21
2022,JFK,LAX,1817,-46
2022,JFK,LAX,1817,-50
2022,JFK,LAX,1916,-48
2022,JFK,LAX,1953,-48
2022,JFK,LAX,2042,-51
2022,JFK,LAX,2048,-57
2022,JFK,LAX,2108,12
2022,JFK,LAX,2346,62
2022,JFK,LAX,2206,-58
2022,JFK,LAX,2355,-3
2022,JFK,LAX,100,1
2022,JFK,LAX,126,27
2022,JFK,IAD,17,115
2022,JFK,LAX,211,14
2022,JFK,LAX,905,-29
2022,JFK,LAX,1003,-22
2022,JFK,LAX,1024,4
2022,JFK,LAX,1038,-26
2022,JFK,LAX,1138,7
2022,JFK,LAX,1143,-17
2022,JFK,LAX,1231,26
2022,JFK,LAX,1340,40
2022,JFK,LAX,1353,3
2022,JFK,LAX,1431,7
2022,JFK,LAX,1442,70
2022,JFK,LAX,1426,-36
2022,JFK,LAX,1553,18
2022,JFK,LAX,1720,-3
2022,JFK,LAX,1717,-8
2022,JFK,IAD,1613,-4
2022,JFK,LAX,1816,-31
2022,JFK,LAX,1840,-23
2022,JFK,LAX,1857,-10
2022,JFK,LAX,2027,23
2022,JFK,LAX,2020,-21
2022,JFK,LAX,2041,-15
2022,JFK,LAX,2120,-13
2022,JFK,LAX,2125,-20
2022,JFK,LAX,2238,-26
2022,JFK,LAX,2321,37
2022,JFK,LAX,2345,-13
2022,JFK,IAD,2226,4
2022,JFK,LAX,46,-13
2022,JFK,LAX,43,-16
2022,JFK,LAX,148,-9
2022,JFK,LAX,927,-7
2022,JFK,LAX,957,-23
2022,JFK,LAX,1022,-3
2022,JFK,LAX,1042,-22
2022,JFK,LAX,1101,-30
2022,JFK,LAX,1121,-39
2022,JFK,LAX,1143,-22
2022,JFK,LAX,1235,-25
2022,JFK,LAX,1320,-12
2022,JFK,LAX,1401,-23
2022,JFK,LAX,1404,14
2022,JFK,LAX,1503,1
2022,JFK,LAX,1551,16
2022,JFK,LAX,1647,-36
2022,JFK,LAX,1207,NA
2022,JFK,IAD,1612,-5
2022,JFK,LAX,1829,-18
2022,JFK,LAX,1827,-36
2022,JFK,LAX,1936,-28
2022,JFK,LAX,1927,20
2022,JFK,LAX,2029,-27
2022,JFK,LAX,2118,-27
2022,JFK,LAX,2116,-17
2022,JFK,LAX,2206,-38
2022,JFK,LAX,2252,-12
2022,JFK,LAX,2327,-31
2022,JFK,IAD,2218,-4
2022,JFK,LAX,23,-36
2022,JFK,LAX,44,-15
2022,JFK,LAX,106,-51
2022,JFK,LAX,853,-41
2022,JFK,LAX,948,-37
2022,JFK,LAX,942,-38
2022,JFK,LAX,1032,-32
2022,JFK,LAX,1048,-43
2022,JFK,LAX,1138,-27
2022,JFK,LAX,1130,-30
2022,JFK,LAX,1223,-37
2022,JFK,LAX,1256,-36
2022,JFK,LAX,1333,-17
2022,JFK,LAX,1343,-41
2022,JFK,LAX,1450,-12
2022,JFK,LAX,1713,98
2022,JFK,LAX,1634,-51
2022,JFK,LAX,1643,-40
2022,JFK,IAD,1621,4
2022,JFK,LAX,1817,-30
2022,JFK,LAX,1825,-38
2022,JFK,LAX,1905,-2
2022,JFK,LAX,1931,-33
2022,JFK,LAX,2107,-26
2022,JFK,LAX,2106,-39
2022,JFK,LAX,2206,-38
2022,JFK,LAX,2234,-30
2022,JFK,LAX,2351,-7
2022,JFK,IAD,2212,-10
2022,JFK,LAX,29,-30
2022,JFK,LAX,41,-18
2022,JFK,LAX,120,-37
2022,JFK,LAX,901,-33
2022,JFK,LAX,1009,-16
2022,JFK,LAX,1009,-11
2022,JFK,LAX,1038,-26
2022,JFK,LAX,1105,-26
2022,JFK,LAX,1115,-45
2022,JFK,LAX,1152,-13
2022,JFK,LAX,1235,-25
2022,JFK,LAX,1312,-20
2022,JFK,LAX,1354,4
2022,JFK,LAX,1407,-17
2022,JFK,LAX,1445,-17
2022,JFK,LAX,1535,0
2022,JFK,LAX,1701,-24
2022,JFK,LAX,1655,-28
2022,JFK,IAD,1600,-17
2022,JFK,LAX,1814,-33
2022,JFK,LAX,1839,-24
2022,JFK,LAX,1850,-17
2022,JFK,LAX,1921,-43
2022,JFK,LAX,2030,-11
2022,JFK,LAX,2038,-18
2022,JFK,LAX,2101,-32
2022,JFK,LAX,2124,-21
2022,JFK,LAX,2211,-33
2022,JFK,LAX,2225,-39
2022,JFK,IAD,2215,-7
2022,JFK,LAX,2349,-9
2022,JFK,LAX,26,-33
2022,JFK,LAX,107,8
2022,JFK,LAX,122,-35
2022,JFK,LAX,859,-35
2022,JFK,LAX,1007,-18
2022,JFK,LAX,1006,-14
2022,JFK,LAX,1016,-48
2022,JFK,LAX,1125,-6
2022,JFK,LAX,1140,-20
2022,JFK,LAX,1305,5
2022,JFK,LAX,1328,83
2022,JFK,LAX,1424,34
2022,JFK,LAX,1428,-34
2022,JFK,LAX,1455,31
2022,JFK,LAX,1549,14
2022,JFK,LAX,1718,-5
2022,JFK,LAX,1737,12
2022,JFK,IAD,1631,14
2022,JFK,LAX,1804,-43
2022,JFK,LAX,1854,-13
2022,JFK,LAX,1854,-9
2022,JFK,LAX,1932,-32
2022,JFK,LAX,2013,-28
2022,JFK,LAX,2027,-66
2022,JFK,LAX,2110,-35
2022,JFK,LAX,2146,50
2022,JFK,LAX,2220,528
2022,JFK,LAX,NA,NA
2022,JFK,LAX,2242,-22
2022,JFK,LAX,2347,-11
2022,JFK,LAX,237,40
2022,JFK,IAD,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,154,298
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,IAD,NA,NA
2022,JFK,IAD,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,431,154
2022,JFK,LAX,1110,-21
2022,JFK,LAX,1433,93
2022,JFK,LAX,1433,9
2022,JFK,LAX,1812,-35
2022,JFK,LAX,1909,2
2022,JFK,LAX,1950,147
2022,JFK,LAX,2125,-20
2022,JFK,LAX,2132,-1
2022,JFK,LAX,2255,232
2022,JFK,LAX,2316,12
2022,JFK,IAD,2212,-10
2022,JFK,LAX,31,107
2022,JFK,LAX,140,41
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,IAD,NA,NA
2022,JFK,LAX,NA,NA
2022,JFK,LAX,NA,NA
